Какое вещество содержится в Тебу 60, МЭ ? | Тебу 60, МЭ содержит 60 г/л тебуконазола.
Какое химическое действие имеет Тебу 60, МЭ ? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что ведет к их гибели.
Какие патогены подвергаются воздействию Тебу 60, МЭ ? | Тебу 60, МЭ оказывает действие на антракноз, гельминтоспориозную корневую гниль, каменную головню, пыльную головню и другие.
В чем заключается механизм действия Тебу 60, МЭ ? | Механизм действия Тебу 60, МЭ заключается в подавлении биосинтеза эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Можно ли использовать Тебу 60, МЭ в дождливую погоду? | Тебу 60, МЭ эффективен при самостоятельном применении, однако обработку рекомендуется проводить в сухую погоду.
Какие семена можно обрабатывать с использованием Тебу 60, МЭ ? | Тебу 60, МЭ предназначен для протравливания семян зерновых культур и льна-долгунца.
Какой период защиты обеспечивает Тебу 60, МЭ ? | Тебу 60, МЭ обеспечивает длительный период защиты от прорастания семян до кущения зерновых культур.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Какие преимущества предоставляет Тебу 60, МЭ ? | Преимущества Тебу 60, МЭ включают базовую защиту семян, инновационную формуляцию, длительный период защиты, оптимальное решение для хозяйств с уровнем планируемой урожайности до 25 ц/га и другие.
Можно ли использовать Тебу 60, МЭ на семенах льна-долгунца? | Да, Тебу 60, МЭ можно использовать для обработки семян льна-долгунца.
Какие преимущества имеет Тебу 60, МЭ ? | Тебу 60, МЭ имеет базовую защиту семян, инновационную формуляцию, оптимальное решение при преобладании головной инфекции, длительный период защиты и другие.
Какой класс опасности присвоен Тебу 60, МЭ ? | Тебу 60, МЭ относится к 2 классу опасности как высокоопасное вещество.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Какое вещество содержится в Тебу 60, МЭ ? | Тебу 60, МЭ содержит 60 г/л тебуконазола.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ предназначен для зерновых культур и льна-долгунца.
Какие преимущества предоставляет Тебу 60, МЭ ? | Тебу 60, МЭ предоставляет базовую защиту семян, инновационную формуляцию, длительный период защиты, оптимальное решение для хозяйств с уровнем планируемой урожайности до 25 ц/га и другие.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ применяется для обработки семян пшеницы (яровой и озимой), ячменя (ярового и озимого), ржи озимой и льна-долгунца.
Какой механизм действия у Тебу 60, МЭ ? | Механизм действия Тебу 60, МЭ заключается в подавлении биосинтеза эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Какой период защитного действия у Тебу 60, МЭ ? | Биологический эффект Тебу 60, МЭ сохраняется в течение всего периода от прорастания семян до кущения культуры.
Какие преимущества имеет Тебу 60, МЭ ? | Тебу 60, МЭ обеспечивает базовую защиту семян, инновационную формуляцию, длительный период защиты, оптимальное решение для хозяйств с планируемой урожайностью до 25 ц/га и другие.
Какой класс опасности у Тебу 60, МЭ ? | Тебу 60, МЭ принадлежит к 2 классу опасности, как высокоопасное вещество.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, вызывая их гибель.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ применяется для обработки семян пшеницы (яровой и озимой), ячменя (ярового и озимого), ржи озимой и льна-долгунца.
Какой период защитного действия обеспечивает Тебу 60, МЭ ? | Тебу 60, МЭ обеспечивает длительный период защиты семян от прорастания до кущения зерновых культур.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что приводит к их гибели.
Какие культуры могут быть обработаны с использованием Тебу 60, МЭ ? | Тебу 60, МЭ предназначен для зерновых культур и льна-долгунца.
Какой период защитного действия предоставляет Тебу 60, МЭ ? | Тебу 60, МЭ обеспечивает биологический эффект в течение всего периода от прорастания семян до кущения культуры.
Какое действие оказывает Тебу 60, МЭ на фитопатогенов? | Тебу 60, МЭ подавляет биосинтез эргостерина в мембранах клеток фитопатогенов, что ведет к их гибели.
