Как называется препарат системного действия для защиты посевов яровой и озимой пшеницы? | Препарат называется Арго, МЭ .
Каков механизм действия феноксапроп-П-этила в составе препарата? | Феноксапроп-П-этил относится к ингибиторам синтеза жирных кислот, препятствуя синтезу клеточных мембран у злаковых сорняков.
Какой механизм действия у клодинафоп-пропаргила в препарате? | Клодинафоп-пропаргил ингибирует биосинтез липидов у злаковых сорняков.
Какую роль играет мефенпир-диэтил в препарате Арго, МЭ ? | Мефенпир-диэтил является антидотом, устраняющим фитотоксическое действие на культуру и проявляющим синергизм с феноксапроп-П-этилом.
Какие культуры защищаются препаратом Арго, МЭ ? | Препарат предназначен для защиты посевов яровой и озимой пшеницы.
Какие страны получают доступ к препарату Арго, МЭ ? | Препарат доступен в России, Казахстане и Сербии.
Какие характеристики делают препарат Арго, МЭ инновационным? | Препарат обладает усиленным гербицидным эффектом за счет эффективной комбинации и повышенной концентрации действующих веществ, а также высокой скоростью проникновения и начальной активности благодаря НАНОформуляции - микроэмульсии.
Какие сорняки устраняются препаратом Арго, МЭ ? | Препарат эффективен против однолетних злаковых сорняков, таких как овсюг, овсюг волосистолистный, метлица обыкновенная и другие виды.
В каких случаях не рекомендуется обрабатывать препаратом Арго, МЭ ? | Не рекомендуется обрабатывать посевы, ослабленные воздействием заморозков, града и вредителей, а также в фазу цветения культур.
Какой период защитного действия у препарата Арго, МЭ ? | Препарат действует на сорные растения в течение всего вегетационного периода, срок защиты составляет 3-4 недели.
Какие химические классы веществ представлены в препарате Арго, МЭ ? | Препарат содержит арилоксифеноксипропионаты и антидот.
В чем заключается механизм действия антидота мефенпир-диэтила? | Антидот мефенпир-диэтил устраняет фитотоксическое действие на культуру и проявляет синергизм с феноксапроп-П-этилом, повышая уровень подавления сорной растительности.
Какие сорняки устойчивы к действию препарата Арго, МЭ ? | Препарат эффективен против однолетних злаковых сорняков, но его действие может быть ограничено некоторыми особо устойчивыми видами.
В каких фазах развития сорных злаков достигается максимальный гербицидный эффект препарата Арго, МЭ ? | Максимально быстрый гербицидный эффект достигается при обработке в ранние стадии развития сорных злаков (фаза 2-3 листьев).
Какие виды однолетних злаковых сорняков подвержены действию препарата Арго, МЭ ? | Препарат эффективен против овсюга, овсюга волосистолистного, метлицы обыкновенной, лисохвоста полевого, мятлика однолетнего, щетинника (виды), ежовника обыкновенного, проса сорнополевого, проса волосовидного, росички кроваво-красной и других.
Каковы сроки ожидания после обработки препаратом Арго, МЭ ? | Сроки ожидания составляют 60 дней (1 кратность обработок).
Какие растения являются целевыми для препарата Арго, МЭ ? | Препарат предназначен для защиты посевов яровой и озимой пшеницы.
Какие страны имеют право продажи и применения препарата Арго, МЭ ? | Препарат доступен для продажи и применения в России, Казахстане и Сербии.
Какое время срабатывания препарата Арго, МЭ ? | Препарат быстро проникает в листья сорных растений и через сутки в значительной мере устраняет конкуренцию сорняков для культуры.
Какой химический класс относят к клодинафоп-пропаргилу в составе препарата? | Клодинафоп-пропаргил относится к химическому классу арилоксифеноксипропионатов.
Какая концентрация действующих веществ содержится в препарате Арго, МЭ ? | Препарат содержит 80 г/л феноксапроп-П-этила, 24 г/л клодинафоп-пропаргила и 30 г/л мефенпир-диэтила.
Какова продолжительность действия препарата Арго, МЭ ? | Препарат действует на сорные растения в течение всего вегетационного периода, срок защиты составляет 3-4 недели.
Какие культуры защищаются препаратом Арго, МЭ ? | Препарат предназначен для защиты посевов яровой и озимой пшеницы.
Какие химические классы веществ содержатся в препарате Арго, МЭ ? | Препарат содержит арилоксифеноксипропионаты и антидот.
Какой период защитного действия у препарата Арго, МЭ ? | Препарат действует на сорные растения в течение всего вегетационного периода, срок защиты составляет 3-4 недели.
Какие особенности применения препарата Арго, МЭ обеспечивают максимальный эффект? | Максимально быстрый гербицидный эффект достигается при обработке в ранние стадии развития сорных злаков (фаза 2-3 листьев) и при благоприятных условиях роста (оптимальной влажности и температуре).
Какие виды однолетних злаковых сорняков подвержены действию препарата Арго, МЭ ? | Препарат эффективен против овсюга, овсюга волосистолистного, метлицы обыкновенной, лисохвоста полевого, мятлика однолетнего, щетинника (виды), ежовника обыкновенного, проса сорнополевого, проса волосовидного, росички кроваво-красной и других.
Каковы сроки ожидания после обработки препаратом Арго, МЭ ? | Сроки ожидания составляют 60 дней (1 кратность обработок).
Какие растения являются целевыми для препарата Арго, МЭ ? | Препарат предназначен для защиты посевов яровой и озимой пшеницы.
Какие страны имеют право продажи и применения препарата Арго, МЭ ? | Препарат доступен для продажи и применения в России, Казахстане и Сербии.
Какое время срабатывания препарата Арго, МЭ ? | Препарат быстро проникает в листья сорных растений и через сутки в значительной мере устраняет конкуренцию сорняков для культуры.
Какой химический класс относят к клодинафоп-пропаргилу в составе препарата? | Клодинафоп-пропаргил относится к химическому классу арилоксифеноксипропионатов.
Какая концентрация действующих веществ содержится в препарате Арго, МЭ ? | Препарат содержит 80 г/л феноксапроп-П-этила, 24 г/l клодинафоп-пропаргила и 30 г/л мефенпир-диэтила.
Какова продолжительность действия препарата Арго, МЭ ? | Препарат действует на сорные растения в течение всего вегетационного периода, срок защиты составляет 3-4 недели.
Какие культуры защищаются препаратом Арго, МЭ ? | Препарат предназначен для защиты посевов яровой и озимой пшеницы.
